Exhibit 1: ZeeTrans Projected Sales Volumes by Segment (in units),,,,,,,
Production Forecast,2022,2023,2024,2025,2026,,
Electric Buses (units),500,"1,100","2,200","2,860","3,500",,
Diesel/Diesel Hybrid Buses (units),"2,000","2,200","2,100","1,840","1,500",,
TOTAL,"2,500","3,300","4,300","4,700","5,000",,
,,,,,,,
Exhibit 2: Competition in the Market,,,,,,,
Competitor ,Product,Range per tank or battery, Purchase Price,,,,
ZeeTrans EV ,EcoBus,405 miles,TBD,,,,
Blue Bird,High-Efficiency Diesel,500 miles,"$480,000",,,,
Volvo Buses,Diesel Hybrid,550 miles ,"$550,000",,,,
MAN,Diesel Hybrid,490 miles,"$510,00",,,,
,,,,,,,
Exhibit 3: Selected Parameters,,,,,,,
,Parameter ,Value,Unit,,,,
,Federal grant per EV ,"$25,000",per bus,,,,
,Average annual vehicle miles traveled (VMT),"36,000",Miles/year,,,,
,Annual salary of refueling/recharge attendant (including benefits),"80,000",$/hour,,,,
,Fuel economy diesel bus (BlueBird) ,22,gal/100 mi,,,,
,Diesel fuel price (as of October 2022),5.1,$/gallon,,,,
,Diesel vehicle maintenance costs,0.44,$/mi,,,,
,Average life of diesel bus,5,years,,,,
,Cost of operating a diesel fuel station,"25,000",$/year,,,,
,Residual value of diesel bus,15%, % of purchase price,,,,
,Fueling station attendant hours,40 Hours/week,Electric Bus,,,,
Electric Bus,EV efficiency,1.82,kWh/mi,,,,
,EV vehicle maintenance costs,0.22,$/mile,,,,
,Electricity consumption charge,0.12,$/kWh,,,,
,Average life of electric bus,10,years,,,,
,Recharging station attendant hours ,10,Hours/week,,,,
,Residual value of BEB,15%,% of purchase price,,,,
EV Charger,"Charger price, including installation (each)","50,000",$ per charger,,,,
,Charger capacity,2,Buses per day,,,,
,,,,,,,
,,,,,,,
Exhibit 4: Variable Production Costs per Unit,,,,,,,
Cost Factor,Production Cost in $ per Unit,,,,,,
Chassis and Body Assembly,"$134,000",,,,,,
Interior,57000,,,,,,
Powertrain/Drivetrain,"170,000",,,,,,
E-drive Controller,57000,,,,,,
Battery,79000,,,,,,
Total Production Cost,497000,,,,,,
,,,,,,,
,,,,,,,
Exhibit 5: Production Overhead Costs,,,,,,,
Overhead for Production Line (annual $),2022,2023,2024,2025,2026,,
Wages,"2,200,000","2,320,000","2,452,000","2,597,200","2,756,920",,
Electricity,"160,000","176,000","193,600","212,960","234,256",,
Insurance Expenses,"100,000",50000,50000,50000,50000,,
Depreciation,"250,000","250,000","250,000","250,000","250,000",,
,,,,,,,
,,,,,,,
Exhibit Analyses:,,,,,,,
Projected increase in electric bus sales and a decline in diesel/hybrid bus sales (Exhibit 1).,,,,,,,
Competitive offerings in the market with their range and prices (Exhibit 2).,,,,,,,
"Selected parameters like federal grants, fuel economy, maintenance costs, etc. (Exhibit 3).",,,,,,,
Breakdown of EcoBus’s production costs (Exhibit 4).,,,,,,,
Overhead costs for the production line from 2022-2026 (Exhibit 5).,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Microsoft Word - A-EcoBus EVE Assignment,,,,,,,
,,,,,,,
"Do a value-based pricing analysis for the EcoBus. Be complete (for the quantifiable elements), use the EVE structure you learned in class and show it graphically. Make and document assumptions as necessary",,,,,,,
,,,,,,,
,,,,,,,
Value Based Pricing,,,,,,,
,,,,,,,
Microsoft Word - A-EcoBus EVE Assignment,,,,,,,
,,,,,,,
"Do a value-based pricing analysis for the EcoBus. Be complete (for the quantifiable elements), use the EVE structure you learned in class and show it graphically. Make and document assumptions as necessary",,,,,,,
,,,,,,,
CRV ,"480,000",,,,,,
PDV Summary,,,,,Diesel Bus,Electric Bus,
a. Fuel Cost Savings,22,gal/100mi,,Fuel Cost,40392,"$7,862.40",
Diesel Fuel Price,5.1,$/gallon,,Annual Savings,"$32,529.60",,
EcoBus Efficiency,1.82,kWh/mi,,x10years,"$325,296.00",,
Electricity price ,$0.12,$/kWh,,,,,
,,,,,,,
As per Exhibit 3,,,,,,,
VMT,"36,000",Miles/year,,,,,
,,,,,,,
b. Maintainance Cost Savings,,,,,,,
,Diesel Bus,Electric Bus,,Comparison,,,
Maintainance Cost,0.44,0.22,,,Diesel,Electric,
Savings if opted electric,0.22,,,Maintenance Cost,15840,7920,
"Savings on the cost Anually for 36,000 miles ",7920,,,x10 years,158400,79200,
x10 years,79200,Cost over 10 years for electric bus,,,,,
,,,,,,,
c. Federal Grant one time,multiplied by number of buses,,,,,,
Per Electric Bus,"25,000",,,,,,
,,,,,,,
d. Fueling station attendant hours savings,,,,,,,
Diesel Bus hours/week,40,,,,,,
Electric Bus hours/week,10,,,,,,
Hourly wages including benefits,80000/year  40 hour week for 52 weeks,,,,,,
Per hour wages /hour,38.46,,,,,,
Savings calculation,,,,,,,
Hourly Savings,30,,,,,,
,1153.8,,,,,,
Anually $,59997.6,,,,,,
Over 10 years,599976,,,,,,
,,,,,,,
Total PDV = a+b+c+d,"$1,029,472.00",,,,,,
,,,,,,,
,,,,,,,
NDV Summary,,,,,,,
One Charger per bus,,,,,,,
Charger Installation Cost,"103,624",,,,,,
,,,Charger Capacity,"If we assume the bus needs to be charged everyday, then eac bus would need 0.5 chargers.",,,
Total Economic Value,CRV + (PDV - NDV),,1 Bus Charger,"$25,000",,,
EV,"1,405,848",,ReCalculating NDV,,,,
,,,Charger Installation Cost / charger,50000,,,
Creating Graph,,,Electricity Cost for Charging,,,,
